,res_id,name,establishment,url,address,city,city_id,locality,latitude,longitude,country_id,locality_verbose,cuisines,timings,average_cost_for_two,highlights,aggregate_rating,rating_text,votes,photo_count,opentable_support,delivery,takeaway,type
0,3500024,Doon Darbar,Casual Dining,https://www.zomato.com/dehradun/doon-darbar-paltan-bazaar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"35, Gandhi Road, Tehsil Chowk, Dhamawala Mohalla, Race Course, Dehradun, Uttarakhand",Dehradun,35,Paltan Bazaar,30.32015309,78.04025598,1,"Paltan Bazaar, Dehradun","North Indian, Mughlai","11am – 11pm (Mon, Tue, Thu, Fri, Sat, Sun), 12midnight – 11:59am, 2:15pm – 12midnight (Wed)",500,"Dinner, Delivery, Credit Card, Lunch, Cash, Takeaway Available, Debit Card, Indoor Seating, Air Conditioned, Digital Payments Accepted",4.3,Very Good,1364,251,0.0,1,-1,Casual Dining
1,3500424,Gaylord Xpress,Quick Bites,https://www.zomato.com/dehradun/gaylord-xpress-paltan-bazaar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"9, Near Samsung Shop, Paltan Bazaar, Dehradun",Dehradun,35,Paltan Bazaar,30.324000800000004,78.04156280000001,1,"Paltan Bazaar, Dehradun",Fast Food,Mon-Sun (10 AM to 11:59 PM),200,"Cash, Lunch, No Alcohol Available, Credit Card, Dinner, Takeaway Available, Indoor Seating",3.8,Good,767,137,0.0,1,-1,Quick Bites
2,3500218,Uss Da Dhaba,Dhaba,https://www.zomato.com/dehradun/uss-da-dhaba-1-race-course?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Near Hotel Saurab, 3 Court Road, Race Course, Dehradun",Dehradun,35,Race Course,30.31586529,78.0392877,1,"Race Course, Dehradun",North Indian,"11:44am – 10:25pm (Mon-Wed),11:45am – 10:25pm (Thu-Fri),12midnight – 10:28pm, 10:39pm – 12midnight (Sat),Closed (Sun)",350,"Lunch, Cash, No Alcohol Available, Dinner, Delivery, Breakfast, Indoor Seating, Pure Veg",4.2,Very Good,719,25,0.0,1,-1,Dhaba
3,18754629,Dominos Pizza,Quick Bites,https://www.zomato.com/dehradun/dominos-pizza-rajpur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"65- A Ground Floor, Rajpur, Dehradun",Dehradun,35,Rajpur,30.33385,78.051497,1,"Rajpur, Dehradun","Pizza, Fast Food",10:57 AM to 11 PM,400,"No Alcohol Available, Dinner, Cash, Takeaway Available, Debit Card, Lunch, Delivery, Credit Card, Free Parking, Indoor Seating, Air Conditioned",3.9,Good,488,110,0.0,-1,-1,Quick Bites
4,3502144,Mannu Fast Food,Quick Bites,https://www.zomato.com/dehradun/mannu-fast-food-raipur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1334, Ladpur, Raipur, Dehradun",Dehradun,35,Raipur,30.31999912,78.07712729999999,1,"Raipur, Dehradun","Fast Food, North Indian, Chinese",8am – 11pm (Mon-Sun),250,"Dinner, Cash, Delivery, Lunch, Takeaway Available, Outdoor Seating",4.6,Excellent,558,21,0.0,1,-1,Quick Bites
5,3501364,Chicago BR,Quick Bites,https://www.zomato.com/dehradun/chicago-br-karanpur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"4 Karanpur, Near DAV College Road, Dehradun",Dehradun,35,Karanpur,30.32857474,78.05752203,1,"Karanpur, Dehradun","Rolls, Momos, North Indian, Fast Food, Pizza, Desserts",11am – 11pm (Mon-Sun),500,"Dinner, Cash, Lunch, Takeaway Available, Indoor Seating, Digital Payments Accepted",4.1,Very Good,364,111,0.0,1,-1,Quick Bites
6,18391854,Burger King,Quick Bites,https://www.zomato.com/dehradun/burger-king-jakhan?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop 1, 3rd Floor, Pacific Mall, Rajpur Road, Jakhan, Dehradun",Dehradun,35,"Pacific Mall, Jakhan",30.3664884,78.07020485,1,"Pacific Mall, Jakhan, Dehradun","Burger, Fast Food, Beverages",11 AM to 11 PM (Mon-Sun),500,"Debit Card, Takeaway Available, Cash, Lunch, Mall Parking, No Alcohol Available, Credit Card, Dinner, Digital Payments Accepted, Indoor Seating, Air Conditioned, Axis Bank - Dining Delights",4.2,Very Good,380,197,0.0,1,-1,Quick Bites
7,3500017,Anandam,Casual Dining,https://www.zomato.com/dehradun/anandam-hathibarkala-salwala?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"69, Krishna Tower, Rajpur Road, Hathibarkala Salwala, Dehradun",Dehradun,35,Hathibarkala Salwala,30.33507166,78.05326067,1,"Hathibarkala Salwala, Dehradun","Desserts, North Indian, Chinese, South Indian, Fast Food, Street Food",8 AM to 10 PM,650,"Credit Card, Dinner, Cash, Lunch, Breakfast, Debit Card, Pure Veg, Air Conditioned, Indoor Seating",4.3,Very Good,426,366,0.0,1,-1,Casual Dining
8,3500484,Kalsang AMA Cafe,Café,https://www.zomato.com/dehradun/kalsang-ama-cafe-hathibarkala-salwala?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"88, Opposite Osho, Chander Lok Colony, Rajpur Road, Hathibarkala Salwala, Dehradun",Dehradun,35,Hathibarkala Salwala,30.34685679,78.06239963,1,"Hathibarkala Salwala, Dehradun",Cafe,10 AM to 11 PM,750,"No Alcohol Available, Dinner, Credit Card, Lunch, Cash, Takeaway Available, Debit Card, Desserts and Bakes, Outdoor Seating, Air Conditioned, Wifi, Indoor Seating, Free Wifi",4.8,Excellent,915,1394,0.0,-1,-1,Café
9,3500153,Dominos Pizza,Quick Bites,https://www.zomato.com/dehradun/dominos-pizza-majra?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"GF, New Khasra 583 K, Opposite ITI, Saharanpur Road, Majra, Dehradun",Dehradun,35,Majra,30.29965,78.00686999999999,1,"Majra, Dehradun","Pizza, Fast Food",10:57 AM to 12 Midnight,400,"Lunch, Delivery, Debit Card, No Alcohol Available, Dinner, Cash, Credit Card, Indoor Seating, Air Conditioned",3.9,Good,377,39,0.0,-1,-1,Quick Bites
10,3500062,Dominos Pizza,Quick Bites,https://www.zomato.com/dehradun/dominos-pizza-dharampur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop G-001, Ground Floor, Shree Tower, Village Chak Ajabpur Kalan, Dharampur, Dehradun",Dehradun,35,Dharampur,30.29313,78.05897,1,"Dharampur, Dehradun","Pizza, Fast Food",10:57 AM to 11 PM,400,"Lunch, Cash, Takeaway Available, Debit Card, No Alcohol Available, Dinner, Delivery, Credit Card, Indoor Seating, Digital Payments Accepted, Free Parking, Air Conditioned",3.6,Good,418,52,0.0,-1,-1,Quick Bites
11,18408585,Punjab Grill,Casual Dining,https://www.zomato.com/dehradun/punjab-grill-jakhan?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Plot 22, Opposite Old Kanta, Rajpur Road, Jakhan, Dehradun",Dehradun,35,Jakhan,30.36003667,78.06723565,1,"Jakhan, Dehradun","Mughlai, North Indian",12 Noon to 11 PM,1250,"Cash, Takeaway Available, Delivery, Serves Alcohol, Debit Card, Dinner, Credit Card, Lunch, Air Conditioned, Free Wifi, Indoor Seating, Table booking recommended, Fullbar, Wheelchair Accessible, Free Parking, Smoking Area, Digital Payments Accepted, Live Sports Screening",4.7,Excellent,869,276,0.0,1,-1,Casual Dining
12,3500011,Kalsang Friends Corner,Casual Dining,https://www.zomato.com/dehradun/kalsang-friends-corner-hathibarkala-salwala?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"88 A, Chander Lok Colony, Rajpur Road, Hathibarkala Salwala, Dehradun",Dehradun,35,Hathibarkala Salwala,30.34687184,78.06250859,1,"Hathibarkala Salwala, Dehradun","Chinese, Thai, Tibetan, Momos",12 Noon to 10:30 PM (Mon-Sun),800,"Cash, Lunch, Dinner, No Alcohol Available, Takeaway Available, Credit Card, Debit Card, Outdoor Seating, Smoking Area, Indoor Seating, Air Conditioned, Live Sports Screening",4.4,Very Good,854,935,0.0,-1,-1,Casual Dining
